,count,mean,std,min,25%,50%,75%,max
曝光人数,216.0,2360.5694444444443,1132.718920692408,1048.0,1637.0,2132.5,2799.5,12000.0
访问人数,216.0,552.824074074074,312.6884720197124,220.0,341.5,482.0,671.0,3310.0
下单人数,216.0,31.14814814814815,8.325712277444334,1.0,25.75,32.0,36.0,58.0
小包最低价,216.0,24.669753086419764,10.582614123923085,13.0,18.666666666666668,18.666666666666668,28.0,65.33333333333333
小包最高价,216.0,83.40586419753087,47.17245710833056,18.0,42.0,75.33333333333333,98.66666666666667,328.6666666666667
中包最低价,216.0,33.13271604938272,15.56345283722964,18.0,22.0,25.333333333333332,52.0,98.66666666666667
中包最高价,216.0,97.41512345679013,52.58035315266626,22.0,52.0,82.0,128.66666666666666,198.66666666666666
大包最低价,216.0,45.92283950617287,24.39267931359909,25.333333333333332,28.666666666666668,32.0,62.0,195.33333333333334
大包最高价,216.0,117.72222222222217,67.57214538581226,28.0,65.33333333333333,95.33333333333333,175.33333333333334,428.6666666666667
